"F_Id","F_UserId","F_UserName","F_Category","F_Type","F_Level","F_IPAddress","F_IPAddressName","F_RequestURL","F_RequestMethod","F_RequestDuration","F_Abstracts","F_Json","F_PlatForm","F_CreatorTime","F_ModuleId","F_ModuleName","F_ObjectId"
"bdd86554583e43728bc8eced8fc62c8c","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/System/DictionaryType/Selector","GET","1",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:18:35",,,
"bde1f8280814432bade21eeffdc03ef8","admin","管理员/admin","5",,,"192.168.0.81",,"/api/VisualDevelopment/Model/b9af594a0a3f43be9fa553e8ca4f347e/Config","GET","0",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:16:21",,,
"bde838fbda88436492155d34c005169e","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowBefore/List/1","GET","10",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:45:16",,,
"bde900f9108b4b4a9466e5ea01b7297d","admin","管理员/admin","5",,,"192.168.0.81",,"/api/Extend/Schedule","GET","1",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:46:24",,,
"bdf0cbd65b7b481eb56503ff3744a24d","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/2df4611e63f843f8a48901931d7b0f4f","GET","13",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:05:16",,,
"be081db8d72a437d9b764911d4fda3ec","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowEngine/c86a2345c2284e0291cd9ec29335e43a","GET","2",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:24:24",,,
"be2f2733fcef48e599bbb0e1ee621804","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlowForm/ArchivalBorrow/c7a09762cc2744fca85ac521732b1d9c","PUT","21",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:02:50",,,
"be40f6fa85aa4ae0952fa88e0645d1c3","admin","管理员/admin","5",,,"192.168.0.81",,"/api/Extend/Email","GET","9",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:40:46",,,
"be4ce55a5b8a466584f9fc85403a7f5a","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.81",,"/api/Home/Notice","GET","7",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:59:14",,,
"be585351b32249c7be94679c7c686a7e","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowBefore/Audit/aad00e64c4ef477da7922ab3165afec5","POST","23",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:30:02",,,
"be8c8b9a1a7a4236bc844899ab93d07f","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/567ff386c76c4606a180960c1c0126e3","PUT","314",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:10:10",,,
"beaa7ebf837c464989c00c10e73f8739","admin","管理员/admin","5",,,"192.168.0.81",,"/api/VisualDevelopment/da901fa7dccf41e1bdac5d30c7fcd887","GET","1",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:38:23",,,
"beab5b3ea05943b690aaa641383fc178","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/2df4611e63f843f8a48901931d7b0f4f","GET","19",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:04:29",,,
"beba76e0673a4b7c8c8b1c94e042b32d","admin","管理员/admin","5",,,"192.168.0.81",,"/api/WorkFlow/FlowEngine/ListAll","GET","5",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:29:43",,,
"beba8241123c45c8aa4d5fa681490bbe","admin","管理员/admin","5",,,"192.168.0.81",,"/api/DataInterface/ebcc44be142e43b795c0d769abd6d25a","GET","37",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:27:50",,,
"bebccc10c5f94d7fb93c95f88458898d","admin","管理员/admin","5",,,"192.168.0.81",,"/api/WorkFlow/FlowEngine","GET","8",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:03:39",,,
