"F_Id","F_ParentId","F_Type","F_FullName","F_EnCode","F_UrlAddress","F_IsButtonAuthorize","F_IsColumnAuthorize","F_IsDataAuthorize","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LinkTarget","F_Category","F_Icon"
"c1c32d3aa7ee4aaa9a0ac6c293ef9f14","6a36b5be00c74a5a8eadf9aca216ce8e","2","E-横状条形图","extend.graphDemo.echartsBarAcross","extend/graphDemo/echartsBarAcross","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"82","1","29/11/2020 14:19:44","admin","21/1/2021 02:20:07","admin",,,,"_self","Web","icon-ym icon-ym-echartsBarAcross"
"c2122f82fc9c40fca0eb0392d7337e6b","9193163d20604861b13193d24bcb7b0c","2","数据接口","systemData.dataInterface","systemData/dataInterface","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","动态编写SQL语句定义接口数据 绑定下拉框或弹窗选择数据接口、报表/BI数据接口","33","1",,,"21/1/2021 01:58:36","admin",,,,"_self","Web","icon-ym icon-ym-dataInterface"
"c2975d9023534cadb5a4fd6af9d1d1d8","9193163d20604861b13193d24bcb7b0c","2","数据同步","systemData.dataSync","systemData/dataSync","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","数据库同步","34","1","1/8/2018 09:36:59","admin","21/1/2021 01:58:44","admin",,,,"_self","Web","icon-ym icon-ym-dataSync"
"c2edf171136045acbdfba68cf1766048","7110175e27ce424ea1d3ee4da7a72009","3","财务报销单","test_reimbursement","/pages/apply/apply/features/index?id=e1c12439d15442b28247c29cb17e7e6c","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""e1c12439d15442b28247c29cb17e7e6c""}",,"0","1","30/11/2020 03:52:32","0a72e7d8-b519-435b-9c43-6796a31c72ec","19/1/2021 15:30:32","admin",,,,"_self","App","icon-ym icon-ym-extend-car"
"c50f18d0568244a5b85878050bbc5a40","9193163d20604861b13193d24bcb7b0c","2","数据建模","systemData.dataModel","systemData/dataModel","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","数据库建模","30","1","1/8/2018 09:36:43","admin","21/1/2021 01:56:47","admin",,,,"_self","Web","icon-ym icon-ym-dataModel"
"c6f61aad76b6445e8ecc76e013c10a57","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","打印示例","extend.printData","extend/printData","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"74","1","27/10/2017 16:35:57",,"21/1/2021 02:17:00","admin",,,,"_self","Web","icon-ym icon-ym-printExample"
"c7159f97177b420d9fc8ec8c74ae541b","7234458129814e0c9c42bc89652b1fa0","2","报表设计","onlineDev.dataReport","onlineDev/dataReport","1","1","1","{""iconBackgroundColor"":""#F68900"",""moduleId"":""""}",,"12","1","4/8/2020 17:55:38","00ca450b-141b-45d2-b6cb-94d818165543","21/1/2021 01:26:06","admin",,,,"_self","Web","icon-ym icon-ym-reportDesign"
"c73a0671b12549109148d016109f7830","19057834dec24f3dba5d81d0c374abea","2","公众号配置","weChat.mpConfig","weChat/mpConfig","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"37","1",,,"21/1/2021 01:59:50","admin",,,,"_self","Web","icon-ym icon-ym-mpConfig"
"c7ded4ca6cf9402f97386051eaedd254","8e31faee685446e28b1eb77cb871cae2","3","入职申请","ruzhi","model/ruzhi","1","1","1","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""b9af594a0a3f43be9fa553e8ca4f347e""}",,"0","1","23/3/2021 07:47:01","admin",,,,,,"_self","Web","icon-ym icon-ym-file-html1"
"C9998351-03E7-449D-B911-666E83F8549E","E7443869-AFAD-4597-9B12-CD182369DF3C","2","菜单管理","system.menu","system/menu","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"25","1","28/9/2017 15:43:21",,"21/1/2021 01:55:32","admin","0",,,"_self","Web","icon-ym icon-ym-sysMenu"
