"F_Id","F_ItemType","F_ItemId","F_ObjectType","F_ObjectId","F_SortCode","F_CreatorTime","F_CreatorUserId"
"649dc9a35b0f40c1af45323bcaa3d18b","column","1482607456c441dbb96bfe3c0e167913","Role","94e3a9bb0fce4547886972998fddba1c","732","15/1/2021 15:34:45","admin"
"649de36eb1f64a58b49b338dc25d4148","button","955d5292a48c4b889c4731e9f18831a7","Role","94e3a9bb0fce4547886972998fddba1c","188","15/1/2021 15:34:45","admin"
"64beeb24890944c6a7e4a7e995ee2886","column","78616a1794f04a29a340a5ebd79f7a6b","Role","94e3a9bb0fce4547886972998fddba1c","600","15/1/2021 15:34:45","admin"
"64cfd84922cd47e58b5f8dc0c47f5adb","module","b7bd4892751a496ba4f37df6346e6dfb","Role","94e3a9bb0fce4547886972998fddba1c","382","15/1/2021 15:34:45","admin"
"64ff350d2e7e4afea4077a29f3843844","module","95e276c7abf44476b888fda46989756c","Role","d2b2418a2f664c61abf0053ff5d57783","405","20/1/2021 14:17:51","admin"
"65104110ec45446f8fc46da2e3ea9372","button","A62AB009-57F1-4FF5-9198-B31F17E88231","Role","d2b2418a2f664c61abf0053ff5d57783","219","20/1/2021 14:17:51","admin"
"652166146d0d455a8b817c8aec6d08f8","button","cb8e14ba266f4e32b59d0ea324c40de5","Role","94e3a9bb0fce4547886972998fddba1c","42","15/1/2021 15:34:45","admin"
"652c78814f174706b195434dfbc55448","module","89524f3808b843eab437ca68e7845151","Role","94e3a9bb0fce4547886972998fddba1c","356","15/1/2021 15:34:45","admin"
"65323412d3ab4949857812bc9cb8e4c0","column","1ac0131079194d2297717df63ac97f18","Role","d2b2418a2f664c61abf0053ff5d57783","760","20/1/2021 14:17:51","admin"
"653c61e0232d4163be4ef492b1a619d2","column","6138694581b84ec2b9755f33f6df2d9e","Role","d2b2418a2f664c61abf0053ff5d57783","573","20/1/2021 14:17:51","admin"
"654b4ea82435486aa57b144241ce904b","resource","97310591eada49f7920d73b554c59212","Role","6c3f9f53e1824ed597d4a6349fadd869","99","4/11/2020 15:56:07","03d159a3-0f88-424c-a24f-02f63855fe4f"
"65ae6085ff034e5d9bf1e07f81446a2f","column","c6f61aad76b6445e8ecc76e013c10a57","Role","d2b2418a2f664c61abf0053ff5d57783","694","20/1/2021 14:17:51","admin"
"65af39a1cc624c18aa66c55b37a89559","column","ef96d397af964fb7a4363c516270a4f4","Role","d2b2418a2f664c61abf0053ff5d57783","742","20/1/2021 14:17:51","admin"
